Time(S),Denoised_Current(A),Pseudo_Label(1=周期)
53.2,-2.7067e-06,1.0
53.3,-2.61e-06,1.0
53.4,-2.4506e-06,1.0
53.5,-2.4506e-06,1.0
53.6,-2.2977e-06,1.0
53.7,-2.2977e-06,1.0
53.8,-2.433e-06,1.0
53.9,-2.433e-06,1.0
54.0,-2.433e-06,1.0
54.1,-2.4689e-06,1.0
54.2,-2.8337e-06,1.0
54.3,-2.4689e-06,1.0
54.4,-2.6862e-06,1.0
54.5,-2.8337e-06,1.0
54.6,-2.6862e-06,1.0
54.7,-2.6131e-06,1.0
54.8,-2.6131e-06,1.0
54.9,-2.5017e-06,1.0
55.0,-2.5017e-06,1.0
55.1,-2.4452e-06,1.0
55.2,-2.422e-06,1.0
55.3,-2.422e-06,1.0
55.4,-2.422e-06,1.0
55.5,-2.422e-06,1.0
55.6,-2.3994e-06,0.0
55.7,-2.6389e-06,0.0
55.8,-2.3994e-06,1.0
55.9,-2.5239e-06,1.0
56.0,-2.5239e-06,1.0
56.1,-2.5239e-06,1.0
56.2,-2.5239e-06,1.0
56.3,-2.5817e-06,1.0
56.4,-2.5817e-06,1.0
56.5,-2.2545e-06,1.0
56.6,-2.6673e-06,1.0
56.7,-2.4359e-06,1.0
56.8,-2.4359e-06,1.0
56.9,-2.4359e-06,1.0
57.0,-2.4359e-06,1.0
57.1,-2.4359e-06,1.0
57.2,-2.5572e-06,1.0
57.3,-2.4924e-06,1.0
57.4,-2.4924e-06,1.0
57.5,-2.4952e-06,1.0
57.6,-2.4924e-06,1.0
57.7,-2.389e-06,1.0
57.8,-2.389e-06,1.0
57.9,-2.4004e-06,1.0
58.0,-2.4004e-06,1.0
58.1,-2.4004e-06,1.0
58.2,-2.4004e-06,1.0
58.3,-2.4004e-06,1.0
58.4,-2.4802e-06,1.0
58.5,-2.4154e-06,0.0
58.6,-2.4802e-06,0.0
58.7,-2.4802e-06,0.0
58.8,-2.4154e-06,0.0
58.9,-2.4154e-06,0.0
59.0,-2.4613e-06,0.0
59.1,-2.3847e-06,1.0
59.2,-2.4613e-06,1.0
59.3,-2.4656e-06,1.0
59.4,-2.5108e-06,1.0
59.5,-2.5057e-06,1.0
59.6,-2.6486e-06,1.0
59.7,-2.6486e-06,1.0
59.8,-2.6486e-06,1.0
59.9,-2.5057e-06,1.0
60.0,-2.7888e-06,1.0
60.1,-2.4214e-06,1.0
60.2,-2.5802e-06,1.0
60.3,-2.5802e-06,1.0
60.4,-2.5802e-06,1.0
60.5,-2.5687e-06,1.0
60.6,-2.5802e-06,1.0
60.7,-2.5687e-06,1.0
60.8,-2.5687e-06,1.0
60.9,-2.4458e-06,1.0
61.0,-2.4458e-06,1.0
61.1,-2.4458e-06,1.0
61.2,-2.4623e-06,1.0
61.3,-2.2872e-06,1.0
61.4,-2.4337e-06,1.0
61.5,-2.4623e-06,1.0
61.6,-2.7268e-06,1.0
61.7,-2.5758e-06,1.0
61.8,-2.5758e-06,1.0
61.9,-2.7268e-06,1.0
62.0,-2.5909e-06,1.0
62.1,-2.5909e-06,1.0
62.2,-2.5909e-06,1.0
62.3,-2.5909e-06,1.0
62.4,-2.5004e-06,1.0
62.5,-2.5004e-06,1.0
62.6,-2.5004e-06,1.0
62.7,-2.5004e-06,1.0
62.8,-2.6866e-06,1.0
62.9,-2.7367e-06,1.0
63.0,-2.6866e-06,1.0
63.1,-2.4293e-06,1.0
63.2,-2.6579e-06,1.0
63.3,-2.4149e-06,1.0
63.4,-2.1506e-06,1.0
63.5,-2.4149e-06,1.0
63.6,-2.5708e-06,1.0
63.7,-2.5708e-06,1.0
63.8,-2.5708e-06,1.0
63.9,-2.5708e-06,1.0
64.0,-2.588e-06,1.0
64.1,-2.5132e-06,1.0
64.2,-2.4589e-06,1.0
64.3,-2.4589e-06,1.0
64.4,-2.3986e-06,1.0
64.5,-2.3986e-06,1.0
64.6,-2.3532e-06,1.0
64.7,-2.3532e-06,1.0
64.8,-2.3532e-06,1.0
64.9,-2.4808e-06,1.0
65.0,-2.1925e-06,1.0
65.1,-2.1925e-06,1.0
65.2,-2.1838e-06,1.0
65.3,-2.1838e-06,1.0
65.4,-2.1838e-06,1.0
65.5,-2.2904e-06,1.0
65.6,-2.2904e-06,1.0
65.7,-2.5064e-06,1.0
65.8,-2.5064e-06,1.0
65.9,-2.5064e-06,1.0
66.0,-2.6588e-06,1.0
66.1,-2.6588e-06,1.0
66.2,-2.248e-06,0.0
66.3,-2.5042e-06,0.0
66.4,-2.248e-06,0.0
66.5,-2.2313e-06,0.0
66.6,-2.2313e-06,0.0
66.7,-2.3332e-06,0.0
66.8,-2.3065e-06,1.0
66.9,-2.3332e-06,1.0
67.0,-2.3332e-06,1.0
67.1,-2.3332e-06,1.0
67.2,-2.4982e-06,1.0
67.3,-2.4982e-06,1.0
67.4,-2.4202e-06,1.0
67.5,-2.4202e-06,1.0
67.6,-2.3852e-06,1.0
67.7,-2.2697e-06,1.0
67.8,-2.2697e-06,1.0
67.9,-2.2477e-06,1.0
68.0,-2.2477e-06,1.0
68.1,-2.1417e-06,1.0
68.2,-2.1417e-06,1.0
68.3,-2.1417e-06,1.0
68.4,-2.1173e-06,1.0
68.5,-2.1173e-06,1.0
68.6,-2.383e-06,1.0
68.7,-2.3788e-06,1.0
68.8,-2.3788e-06,1.0
68.9,-2.3788e-06,0.0
69.0,-2.3788e-06,0.0
69.1,-2.3788e-06,0.0
69.2,-2.4888e-06,0.0
69.3,-2.2775e-06,0.0
69.4,-2.3423e-06,0.0
69.5,-2.5356e-06,0.0
69.6,-2.8109e-06,0.0
69.7,-2.3423e-06,1.0
69.8,-2.9036e-06,1.0
69.9,-2.9036e-06,1.0
70.0,-2.6945e-06,1.0
70.1,-2.6871e-06,1.0
70.2,-2.6871e-06,1.0
70.3,-2.3021e-06,1.0
