序号,相对时间(s),R（Ω）,X（Ω）,时间
246,26.66,16659.6,-2098.87,2026/01/29 20:53:46
247,26.77,16774.8,-2100.56,2026/01/29 20:53:46
248,26.88,16819.4,-2093.88,2026/01/29 20:53:46
249,26.99,16828.9,-2093.78,2026/01/29 20:53:46
250,27.09,16787.2,-2091.9,2026/01/29 20:53:46
251,27.2,16679.4,-2087.94,2026/01/29 20:53:46
252,27.31,16566,-2096.98,2026/01/29 20:53:46
253,27.42,16622.7,-2099.21,2026/01/29 20:53:46
254,27.53,16715.9,-2098.8,2026/01/29 20:53:46
255,27.64,16818.1,-2095.89,2026/01/29 20:53:47
256,27.75,16834.8,-2092.63,2026/01/29 20:53:47
257,27.86,16774.6,-2090.18,2026/01/29 20:53:47
258,27.97,16603.2,-2090.23,2026/01/29 20:53:47
259,28.07,16534.6,-2100.98,2026/01/29 20:53:47
260,28.18,16633.1,-2098.75,2026/01/29 20:53:47
261,28.29,16746.4,-2101.65,2026/01/29 20:53:47
262,28.4,16827.5,-2094.11,2026/01/29 20:53:47
263,28.51,16820,-2092.54,2026/01/29 20:53:47
264,28.62,16759.5,-2086.74,2026/01/29 20:53:48
265,28.73,16551.2,-2094.31,2026/01/29 20:53:48
266,28.84,16558.6,-2102.73,2026/01/29 20:53:48
267,28.95,16669.2,-2098.94,2026/01/29 20:53:48
268,29.05,16799.5,-2098.61,2026/01/29 20:53:48
269,29.16,16829.8,-2094.21,2026/01/29 20:53:48
270,29.27,16797.2,-2090.64,2026/01/29 20:53:48
271,29.38,16681.2,-2084.6,2026/01/29 20:53:48
272,29.49,16519.4,-2099.63,2026/01/29 20:53:48
273,29.6,16626.7,-2099.72,2026/01/29 20:53:49
274,29.71,16731.6,-2099.88,2026/01/29 20:53:49
275,29.82,16821,-2095.56,2026/01/29 20:53:49
276,29.93,16836.2,-2092.81,2026/01/29 20:53:49
277,30.04,16773.5,-2091.63,2026/01/29 20:53:49
278,30.14,16614.6,-2088.09,2026/01/29 20:53:49
279,30.25,16567.3,-2103.66,2026/01/29 20:53:49
280,30.36,16673.9,-2097.54,2026/01/29 20:53:49
281,30.47,16806.3,-2098.1,2026/01/29 20:53:49
282,30.58,16834.9,-2095.03,2026/01/29 20:53:49
283,30.69,16819.9,-2091.12,2026/01/29 20:53:50
284,30.8,16754.2,-2085.1,2026/01/29 20:53:50
285,30.91,16598.5,-2096.09,2026/01/29 20:53:50
286,31.02,16628,-2098.43,2026/01/29 20:53:50
287,31.12,16714.8,-2098.76,2026/01/29 20:53:50
288,31.23,16820.2,-2095.65,2026/01/29 20:53:50
289,31.34,16842.6,-2094.63,2026/01/29 20:53:50
290,31.45,16813.8,-2092.5,2026/01/29 20:53:50
291,31.56,16753.8,-2084.8,2026/01/29 20:53:50
292,31.67,16614.1,-2096.9,2026/01/29 20:53:51
293,31.78,16657.2,-2098.98,2026/01/29 20:53:51
294,31.89,16741,-2099.53,2026/01/29 20:53:51
295,32,16828.4,-2096.69,2026/01/29 20:53:51
296,32.11,16838,-2094.38,2026/01/29 20:53:51
297,32.22,16791,-2091.39,2026/01/29 20:53:51
298,32.32,16689.2,-2091.76,2026/01/29 20:53:51
299,32.43,16607.5,-2099.54,2026/01/29 20:53:51
