序号,相对时间(s),R（Ω）,X（Ω）,时间
247,26.8,17894.2,-2484.84,2026/01/29 23:28:16
248,26.91,17934.3,-2479.16,2026/01/29 23:28:16
249,27.02,17935.6,-2476.69,2026/01/29 23:28:16
250,27.13,17933.3,-2480.39,2026/01/29 23:28:16
251,27.23,17931.6,-2478.72,2026/01/29 23:28:16
252,27.34,17847.9,-2496.23,2026/01/29 23:28:16
253,27.45,17851,-2494.96,2026/01/29 23:28:16
254,27.56,17921.1,-2480.77,2026/01/29 23:28:16
255,27.67,17929.2,-2478.21,2026/01/29 23:28:17
256,27.78,17930.3,-2480.7,2026/01/29 23:28:17
257,27.89,17924.6,-2479.55,2026/01/29 23:28:17
258,27.99,17866.7,-2491.44,2026/01/29 23:28:17
259,28.1,17819.1,-2502.13,2026/01/29 23:28:17
260,28.21,17838.1,-2497.7,2026/01/29 23:28:17
261,28.32,17920.4,-2480.43,2026/01/29 23:28:17
262,28.43,17933.3,-2479.6,2026/01/29 23:28:17
263,28.54,17930.4,-2478.82,2026/01/29 23:28:17
264,28.65,17934.6,-2479.63,2026/01/29 23:28:18
265,28.76,17914.7,-2482.28,2026/01/29 23:28:18
266,28.87,17833.8,-2497.99,2026/01/29 23:28:18
267,28.98,17819.1,-2502.62,2026/01/29 23:28:18
268,29.08,17901.2,-2485.55,2026/01/29 23:28:18
269,29.19,17929.7,-2478.29,2026/01/29 23:28:18
270,29.3,17927.1,-2481.47,2026/01/29 23:28:18
271,29.41,17929.3,-2479.97,2026/01/29 23:28:18
272,29.52,17927.6,-2481,2026/01/29 23:28:18
273,29.63,17898.1,-2486.63,2026/01/29 23:28:19
274,29.74,17821.8,-2500.24,2026/01/29 23:28:19
275,29.85,17847.6,-2497.24,2026/01/29 23:28:19
276,29.96,17933.8,-2477.82,2026/01/29 23:28:19
277,30.07,17931.8,-2480.6,2026/01/29 23:28:19
278,30.17,17940.6,-2477.84,2026/01/29 23:28:19
279,30.28,17929.5,-2481.01,2026/01/29 23:28:19
280,30.39,17874,-2490.04,2026/01/29 23:28:19
281,30.5,17824.8,-2502.16,2026/01/29 23:28:19
282,30.61,17840.3,-2497.7,2026/01/29 23:28:20
283,30.72,17931.1,-2479.4,2026/01/29 23:28:20
284,30.83,17936.4,-2479.3,2026/01/29 23:28:20
285,30.94,17941.3,-2477.13,2026/01/29 23:28:20
286,31.05,17922,-2481.3,2026/01/29 23:28:20
287,31.15,17852.4,-2496.68,2026/01/29 23:28:20
288,31.26,17825.8,-2501.74,2026/01/29 23:28:20
289,31.37,17832.2,-2499.92,2026/01/29 23:28:20
290,31.48,17911.3,-2484.2,2026/01/29 23:28:20
291,31.59,17931.9,-2478.64,2026/01/29 23:28:21
292,31.7,17935.5,-2480.92,2026/01/29 23:28:21
293,31.81,17905,-2483.82,2026/01/29 23:28:21
294,31.92,17825.9,-2502.2,2026/01/29 23:28:21
295,32.03,17849.4,-2497.12,2026/01/29 23:28:21
296,32.14,17925.7,-2480,2026/01/29 23:28:21
297,32.25,17930.5,-2479.44,2026/01/29 23:28:21
298,32.36,17935.6,-2479.98,2026/01/29 23:28:21
299,32.46,17932.4,-2479.39,2026/01/29 23:28:21
300,32.57,17890.7,-2487.82,2026/01/29 23:28:21
301,32.68,17823.5,-2502.78,2026/01/29 23:28:22
302,32.79,17883.3,-2487.97,2026/01/29 23:28:22
303,32.9,17930.9,-2481.29,2026/01/29 23:28:22
304,33.01,17927.9,-2480.39,2026/01/29 23:28:22
