序号,相对时间(s),R（Ω）,X（Ω）,时间
300,32.55,21696.4,-1724.65,2026/01/23 17:15:30
301,32.66,21711.6,-1724.93,2026/01/23 17:15:30
302,32.77,21702.9,-1726.41,2026/01/23 17:15:30
303,32.88,21690.3,-1723.06,2026/01/23 17:15:30
304,32.99,21671.1,-1724.84,2026/01/23 17:15:31
305,33.1,21684.1,-1726.01,2026/01/23 17:15:31
306,33.21,21684,-1725.12,2026/01/23 17:15:31
307,33.32,21694.7,-1726.58,2026/01/23 17:15:31
308,33.43,21705.8,-1725.99,2026/01/23 17:15:31
309,33.53,21720.4,-1727.54,2026/01/23 17:15:31
310,33.64,21713.5,-1724.65,2026/01/23 17:15:31
311,33.75,21690.4,-1725.88,2026/01/23 17:15:31
312,33.86,21685.4,-1726.15,2026/01/23 17:15:31
313,33.97,21690.8,-1726.27,2026/01/23 17:15:32
314,34.08,21698.6,-1724,2026/01/23 17:15:32
315,34.19,21705.4,-1729.23,2026/01/23 17:15:32
316,34.3,21725.6,-1724.88,2026/01/23 17:15:32
317,34.41,21732.5,-1728.03,2026/01/23 17:15:32
318,34.51,21714.6,-1723.2,2026/01/23 17:15:32
319,34.62,21697.7,-1724.75,2026/01/23 17:15:32
320,34.73,21694.7,-1725.78,2026/01/23 17:15:32
321,34.84,21706.1,-1726.48,2026/01/23 17:15:32
322,34.95,21703.4,-1727.65,2026/01/23 17:15:33
323,35.06,21712.4,-1725.4,2026/01/23 17:15:33
324,35.17,21716.3,-1730.46,2026/01/23 17:15:33
325,35.28,21736,-1723.88,2026/01/23 17:15:33
326,35.39,21734.3,-1728,2026/01/23 17:15:33
327,35.49,21723.6,-1724.65,2026/01/23 17:15:33
328,35.6,21704.3,-1725.6,2026/01/23 17:15:33
329,35.71,21707.1,-1725.11,2026/01/23 17:15:33
330,35.82,21712,-1725.88,2026/01/23 17:15:33
331,35.93,21714.6,-1728.86,2026/01/23 17:15:34
332,36.04,21727.9,-1725.35,2026/01/23 17:15:34
333,36.15,21729.7,-1729.55,2026/01/23 17:15:34
334,36.26,21740.9,-1724.39,2026/01/23 17:15:34
335,36.37,21717.4,-1726.49,2026/01/23 17:15:34
336,36.48,21709.9,-1725.42,2026/01/23 17:15:34
337,36.58,21706.5,-1726.45,2026/01/23 17:15:34
338,36.69,21712.5,-1726.29,2026/01/23 17:15:34
339,36.8,21717.1,-1726.46,2026/01/23 17:15:34
340,36.91,21728.7,-1727.76,2026/01/23 17:15:35
341,37.02,21744.2,-1725.63,2026/01/23 17:15:35
342,37.13,21737.8,-1728.56,2026/01/23 17:15:35
343,37.24,21731,-1726.69,2026/01/23 17:15:35
344,37.35,21708.7,-1726.37,2026/01/23 17:15:35
345,37.46,21719.8,-1728.4,2026/01/23 17:15:35
346,37.56,21716.7,-1725.63,2026/01/23 17:15:35
347,37.67,21723.3,-1728.33,2026/01/23 17:15:35
348,37.78,21729.5,-1725.96,2026/01/23 17:15:35
349,37.89,21740.6,-1730.67,2026/01/23 17:15:35
350,38,21758.5,-1726.59,2026/01/23 17:15:36
351,38.11,21742.4,-1726.9,2026/01/23 17:15:36
352,38.22,21728.9,-1727.04,2026/01/23 17:15:36
353,38.33,21713.2,-1726.91,2026/01/23 17:15:36
354,38.43,21721.5,-1727.33,2026/01/23 17:15:36
355,38.54,21721.6,-1727.54,2026/01/23 17:15:36
356,38.65,21729.4,-1729.63,2026/01/23 17:15:36
357,38.76,21742.2,-1726.31,2026/01/23 17:15:36
358,38.87,21747.5,-1729.04,2026/01/23 17:15:36
359,38.98,21743.8,-1725.69,2026/01/23 17:15:37
360,39.09,21715.6,-1725.07,2026/01/23 17:15:37
361,39.2,21720.8,-1727.34,2026/01/23 17:15:37
362,39.3,21719.4,-1727.18,2026/01/23 17:15:37
363,39.41,21728.6,-1728.45,2026/01/23 17:15:37
364,39.52,21734.8,-1725.99,2026/01/23 17:15:37
365,39.63,21739.7,-1729.43,2026/01/23 17:15:37
366,39.74,21761,-1727.25,2026/01/23 17:15:37
367,39.85,21752.8,-1728.78,2026/01/23 17:15:37
368,39.96,21741.8,-1727.6,2026/01/23 17:15:38
369,40.07,21720.5,-1726.9,2026/01/23 17:15:38
370,40.17,21726.4,-1728.7,2026/01/23 17:15:38
371,40.28,21726.6,-1726.08,2026/01/23 17:15:38
372,40.39,21721,-1727.91,2026/01/23 17:15:38
373,40.5,21727.7,-1725.39,2026/01/23 17:15:38
374,40.61,21718.2,-1730.8,2026/01/23 17:15:38
375,40.72,21728.3,-1725.96,2026/01/23 17:15:38
376,40.83,21721,-1728.88,2026/01/23 17:15:38
377,40.94,21727.1,-1726.37,2026/01/23 17:15:39
378,41.04,21723.8,-1729.38,2026/01/23 17:15:39
379,41.15,21725.4,-1728,2026/01/23 17:15:39
380,41.26,21725.7,-1728.57,2026/01/23 17:15:39
381,41.37,21721.6,-1727.72,2026/01/23 17:15:39
382,41.48,21726.6,-1726.11,2026/01/23 17:15:39
383,41.59,21721,-1730.19,2026/01/23 17:15:39
384,41.7,21727.7,-1723.54,2026/01/23 17:15:39
385,41.81,21721.7,-1730.62,2026/01/23 17:15:39
386,41.92,21724,-1725.96,2026/01/23 17:15:40
387,42.02,21724.5,-1729.88,2026/01/23 17:15:40
388,42.13,21722.5,-1728.33,2026/01/23 17:15:40
389,42.24,21726.9,-1727.77,2026/01/23 17:15:40
390,42.35,21722.3,-1728.62,2026/01/23 17:15:40
391,42.46,21724.3,-1726.18,2026/01/23 17:15:40
392,42.57,21724.3,-1729.51,2026/01/23 17:15:40
393,42.68,21724.8,-1727.63,2026/01/23 17:15:40
