Time:,2024/12/13 0:05:27
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),2000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
4.7000e+001,2.8301e-003
4.7100e+001,1.8415e-003
4.7200e+001,6.0909e-004
4.7300e+001,7.7548e-004
4.7400e+001,4.6726e-004
4.7500e+001,4.5084e-004
4.7600e+001,4.4131e-004
4.7700e+001,1.4185e-003
4.7800e+001,1.6937e-003
4.7900e+001,2.3465e-003
4.8000e+001,1.8698e-003
4.8100e+001,1.9190e-003
4.8200e+001,2.1741e-003
4.8300e+001,2.2299e-003
4.8400e+001,2.2795e-003
4.8500e+001,2.3093e-003
4.8600e+001,2.3173e-003
4.8700e+001,1.9959e-003
4.8800e+001,2.0858e-003
4.8900e+001,2.4508e-003
4.9000e+001,2.6712e-003
4.9100e+001,6.5152e-004
4.9200e+001,4.6014e-004
4.9300e+001,4.5020e-004
4.9400e+001,4.4845e-004
4.9500e+001,4.3569e-004
4.9600e+001,4.1877e-004
4.9700e+001,1.4447e-003
4.9800e+001,7.4784e-004
4.9900e+001,2.7763e-003
5.0000e+001,2.8094e-003
5.0100e+001,2.8280e-003
5.0200e+001,2.8361e-003
5.0300e+001,2.8600e-003
5.0400e+001,2.9021e-003
5.0500e+001,2.9340e-003
5.0600e+001,2.9541e-003
5.0700e+001,2.9666e-003
5.0800e+001,2.9748e-003
5.0900e+001,2.9786e-003
5.1000e+001,2.4154e-003
5.1100e+001,1.1983e-003
5.1200e+001,2.3762e-003
5.1300e+001,5.3392e-004
5.1400e+001,4.6853e-004
5.1500e+001,4.5764e-004
5.1600e+001,4.4429e-004
5.1700e+001,4.3731e-004
5.1800e+001,1.5004e-003
5.1900e+001,2.7220e-003
5.2000e+001,2.7867e-003
5.2100e+001,2.8429e-003
5.2200e+001,2.8878e-003
5.2300e+001,2.9183e-003
5.2400e+001,2.9385e-003
5.2500e+001,2.9527e-003
5.2600e+001,2.9629e-003
5.2700e+001,2.9701e-003
5.2800e+001,2.9745e-003
5.2900e+001,2.9774e-003
5.3000e+001,2.9752e-003
5.3100e+001,1.2514e-003
5.3200e+001,7.1912e-004
5.3300e+001,2.1938e-003
5.3400e+001,5.3383e-004
5.3500e+001,4.6537e-004
5.3600e+001,4.4929e-004
5.3700e+001,4.3628e-004
5.3800e+001,2.4857e-003
5.3900e+001,2.5970e-003
5.4000e+001,2.6945e-003
5.4100e+001,2.7888e-003
5.4200e+001,2.8562e-003
5.4300e+001,2.9036e-003
5.4400e+001,2.9358e-003
5.4500e+001,2.9590e-003
5.4600e+001,2.9751e-003
5.4700e+001,2.9857e-003
5.4800e+001,2.9933e-003
5.4900e+001,2.9982e-003
5.5000e+001,3.0009e-003
5.5100e+001,3.0007e-003
5.5200e+001,2.9932e-003
5.5300e+001,6.8850e-004
5.5400e+001,1.2428e-003
5.5500e+001,8.7940e-004
5.5600e+001,6.7923e-004
5.5700e+001,5.7531e-004
5.5800e+001,5.5428e-004
5.5900e+001,4.7477e-004
5.6000e+001,2.8255e-003
5.6100e+001,2.6075e-003
5.6200e+001,2.7021e-003
5.6300e+001,2.7923e-003
5.6400e+001,2.8589e-003
5.6500e+001,2.9061e-003
5.6600e+001,2.9385e-003
5.6700e+001,2.9618e-003
5.6800e+001,2.9802e-003
5.6900e+001,2.9932e-003
5.7000e+001,3.0007e-003
5.7100e+001,3.0046e-003
5.7200e+001,3.0054e-003
5.7300e+001,3.0005e-003
5.7400e+001,1.7810e-003
5.7500e+001,1.5758e-003
5.7600e+001,8.1455e-004
5.7700e+001,2.1149e-003
5.7800e+001,5.0368e-004
5.7900e+001,4.4050e-004
5.8000e+001,4.3436e-004
5.8100e+001,1.0039e-003
5.8200e+001,4.9726e-004
5.8300e+001,2.5985e-003
5.8400e+001,2.6915e-003
5.8500e+001,2.7745e-003
5.8600e+001,2.8436e-003
5.8700e+001,2.8955e-003
5.8800e+001,2.9311e-003
5.8900e+001,2.9555e-003
5.9000e+001,2.9726e-003
5.9100e+001,2.9856e-003
5.9200e+001,2.9944e-003
5.9300e+001,2.9993e-003
5.9400e+001,3.0022e-003
5.9500e+001,3.0036e-003
5.9600e+001,3.0046e-003
5.9700e+001,3.0061e-003
5.9800e+001,3.0075e-003
5.9900e+001,3.0014e-003
6.0000e+001,2.9739e-003
6.0100e+001,2.9787e-003
6.0200e+001,2.9816e-003
6.0300e+001,2.9832e-003
6.0400e+001,2.9839e-003
6.0500e+001,2.9842e-003
6.0600e+001,2.9832e-003
6.0700e+001,2.9818e-003
6.0800e+001,2.9719e-003
6.0900e+001,2.3440e-003
6.1000e+001,5.3733e-004
6.1100e+001,4.6947e-004
6.1200e+001,4.5676e-004
6.1300e+001,4.3830e-004
6.1400e+001,2.8070e-003
6.1500e+001,2.8857e-003
6.1600e+001,2.9498e-003
6.1700e+001,2.9856e-003
6.1800e+001,3.0042e-003
6.1900e+001,3.0136e-003
6.2000e+001,3.0181e-003
6.2100e+001,3.0199e-003
6.2200e+001,3.0198e-003
6.2300e+001,3.0189e-003
6.2400e+001,3.0173e-003
6.2500e+001,3.0159e-003
6.2600e+001,3.0134e-003
6.2700e+001,3.0020e-003
6.2800e+001,5.8193e-004
6.2900e+001,4.6352e-004
6.3000e+001,4.0796e-004
6.3100e+001,3.9633e-004
6.3200e+001,2.6487e-003
6.3300e+001,2.7841e-003
6.3400e+001,2.8826e-003
