Time:,2024/12/13 0:21:24
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),2000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
4.5800e+001,-2.7213e-006
4.5900e+001,-2.9387e-006
4.6000e+001,-2.5675e-006
4.6100e+001,-2.7070e-006
4.6200e+001,-2.4544e-006
4.6300e+001,-2.2394e-006
4.6400e+001,-1.9032e-006
4.6500e+001,-2.2772e-006
4.6600e+001,-2.0195e-006
4.6700e+001,-2.6656e-006
4.6800e+001,-2.7364e-006
4.6900e+001,-2.4411e-006
4.7000e+001,-2.6232e-006
4.7100e+001,-2.7008e-006
4.7200e+001,-2.8405e-006
4.7300e+001,-2.7184e-006
4.7400e+001,-2.3554e-006
4.7500e+001,-2.5776e-006
4.7600e+001,-2.5277e-006
4.7700e+001,-2.4146e-006
4.7800e+001,-2.3659e-006
4.7900e+001,-2.7018e-006
4.8000e+001,-2.6859e-006
4.8100e+001,-2.1419e-006
4.8200e+001,-2.8202e-006
4.8300e+001,-2.6087e-006
4.8400e+001,-2.5921e-006
4.8500e+001,-2.3850e-006
4.8600e+001,-2.3206e-006
4.8700e+001,-2.0116e-006
4.8800e+001,-2.8274e-006
4.8900e+001,-2.2768e-006
4.9000e+001,-2.3514e-006
4.9100e+001,-2.5428e-006
4.9200e+001,-2.7969e-006
4.9300e+001,-2.1199e-006
4.9400e+001,-2.5354e-006
4.9500e+001,-2.5887e-006
4.9600e+001,-2.6565e-006
4.9700e+001,-2.4657e-006
4.9800e+001,-1.8357e-006
4.9900e+001,-2.3095e-006
5.0000e+001,-2.6894e-006
5.0100e+001,-2.3091e-006
5.0200e+001,-2.5456e-006
5.0300e+001,-1.9385e-006
5.0400e+001,-2.2850e-006
5.0500e+001,-2.8119e-006
5.0600e+001,-2.2652e-006
5.0700e+001,-2.2530e-006
5.0800e+001,-2.2951e-006
5.0900e+001,-2.1787e-006
5.1000e+001,-2.5772e-006
5.1100e+001,-2.6236e-006
5.1200e+001,-2.2996e-006
5.1300e+001,-2.1539e-006
5.1400e+001,-2.4169e-006
5.1500e+001,-2.6483e-006
